researcher_id,coauthor_count,shared_paper_strength,fractional_collaboration_strength,component,component_size,in_giant_component,community
ur.01001411032.50,10,10.0,1.0,0,59091,True,16
ur.01001415546.07,27,27.0,0.99999994,0,59091,True,4
ur.010014176763.74,7,7.0,0.99999994,0,59091,True,6
ur.010014265551.41,41,41.0,1.0,0,59091,True,6
ur.01001453112.06,24,37.0,2.9999998,0,59091,True,12
ur.010014532711.13,62,62.0,0.9999999,0,59091,True,26
ur.010014537677.09,354,533.0,10.000001,0,59091,True,2
ur.010014550064.51,5,10.0,1.9999999,0,59091,True,24
ur.01001456331.82,134,213.0,13.999998,0,59091,True,27
ur.010014564143.92,11,11.0,1.0000001,0,59091,True,21
ur.010014573421.45,7,7.0,0.99999994,42,8,False,496
ur.01001457737.86,9,9.0,1.0000001,43,10,False,305
ur.010014647003.99,113,113.0,1.0000001,0,59091,True,10
ur.010014653341.36,25,30.0,2.0000002,0,59091,True,11
ur.010014660733.05,4,8.0,2.9999995,35,43,False,90
ur.01001466444.59,148,148.0,1.0,0,59091,True,7
ur.01001470362.52,85,88.0,3.0,0,59091,True,49
ur.01001476321.03,59,86.0,2.0000002,0,59091,True,1
ur.010014774474.77,8,8.0,0.99999994,0,59091,True,4
ur.010015024023.95,2,2.0,0.99999994,44,3,False,1412
ur.010015040147.22,11,11.0,1.0000001,0,59091,True,6
ur.01001510275.07,19,19.0,0.9999999,0,59091,True,2
ur.01001510543.95,123,123.0,1.9999999,0,59091,True,10
ur.010015147577.35,29,29.0,1.0,0,59091,True,7
ur.01001515760.27,690,1077.0,13.0,0,59091,True,2
ur.01001520346.20,20,20.0,1.0,0,59091,True,87
ur.01001521437.43,53,58.0,2.0,0,59091,True,4
ur.010015244537.35,29,97.0,7.999999,0,59091,True,44
ur.010015262634.31,3,3.0,0.99999994,45,4,False,1089
ur.010015270724.52,35,95.0,12.0,0,59091,True,8
ur.01001527233.85,64,109.0,10.0,0,59091,True,8
ur.010015274547.16,14,16.0,2.0,0,59091,True,12
ur.01001532766.23,6,6.0,1.0,0,59091,True,17
ur.010015377377.05,15,15.0,0.99999994,0,59091,True,2
ur.01001542522.52,233,243.0,3.0,0,59091,True,2
ur.010015435137.28,37,37.0,0.9999999,0,59091,True,7
ur.010015517321.90,22,22.0,1.0000001,0,59091,True,3
ur.01001552045.85,6,6.0,1.0,0,59091,True,16
ur.01001552157.22,8,8.0,0.99999994,0,59091,True,40
ur.010015561225.15,1806,2527.0,2.0,0,59091,True,5
ur.01001561122.12,70,150.0,5.0,0,59091,True,2
ur.01001563633.61,45,56.0,2.0,0,59091,True,1
ur.01001564603.89,53,114.0,11.0,0,59091,True,12
ur.010015661730.07,7,15.0,2.9999998,46,8,False,507
ur.010015704101.19,17,31.0,4.0,0,59091,True,100
ur.010015720355.70,12,23.0,1.9999998,47,21,False,131
ur.01001600460.25,9,9.0,1.0000001,0,59091,True,12
ur.01001603363.99,9,9.0,1.0000001,0,59091,True,19
ur.010016064465.30,1806,2527.0,2.0,0,59091,True,5
ur.01001607655.27,130,294.0,6.9999995,0,59091,True,6
ur.010016175600.73,9,9.0,1.0000001,0,59091,True,34
ur.010016224137.94,11,15.0,1.9999998,0,59091,True,15
ur.010016267463.36,155,155.0,1.0000001,0,59091,True,1
ur.010016323644.59,9,36.0,5.0,0,59091,True,12
ur.010016372563.05,32,50.0,3.0,0,59091,True,27
ur.010016466525.12,6,6.0,1.0,48,7,False,576
ur.010016553250.52,2,2.0,0.99999994,0,59091,True,65
ur.010016575443.28,9,9.0,1.0000001,0,59091,True,28
ur.01001667673.55,245,245.0,0.99999994,0,59091,True,2
ur.01001672630.63,4,4.0,1.0,0,59091,True,22
ur.010016727730.38,1570,1570.0,1.0000001,0,59091,True,5
ur.010017010203.38,11,22.0,2.0000002,0,59091,True,4
ur.010017030611.65,36,36.0,1.0000001,0,59091,True,2
ur.010017072027.44,47,56.0,3.9999995,0,59091,True,27
ur.01001715607.37,27,41.0,1.9999998,0,59091,True,3
ur.01001717654.09,36,36.0,1.0000001,0,59091,True,54
ur.010017202670.01,32,76.0,5.9999995,0,59091,True,35
ur.010017224267.18,19,19.0,0.9999999,0,59091,True,36
ur.010017240442.11,5,5.0,0.99999994,0,59091,True,1
ur.010017252766.82,1,1.0,1.0,49,2,False,1526
ur.010017261451.72,16,26.0,2.0,0,59091,True,21
ur.010017332017.72,12,12.0,0.9999999,0,59091,True,43
ur.01001743543.01,19,19.0,0.9999999,0,59091,True,59
ur.010017454177.79,19,25.0,1.9999998,0,59091,True,2
ur.01001746174.99,34,34.0,1.0,0,59091,True,10
ur.010017537631.91,41,48.0,2.0000002,0,59091,True,8
ur.01001761610.39,20,24.0,2.0,0,59091,True,49
ur.010017700503.33,6,6.0,1.0,50,7,False,579
ur.010017732540.28,4,4.0,1.0,51,5,False,956
ur.01001774416.25,68,105.0,3.0000002,0,59091,True,11
ur.010020163233.51,15,15.0,0.99999994,0,59091,True,18
ur.01002016345.95,2020,2755.0,3.0,0,59091,True,5
ur.010020166247.68,74,82.0,3.0,0,59091,True,36
ur.010020210460.46,15,18.0,1.9999999,0,59091,True,33
ur.01002025201.09,5,20.0,5.0,0,59091,True,2
ur.01002030026.66,0,0.0,0.0,52,1,False,1839
ur.01002031127.36,23,38.0,3.0,0,59091,True,3
ur.010020313654.18,20,20.0,1.0,0,59091,True,11
ur.010020316066.98,11,11.0,1.0000001,0,59091,True,14
ur.01002034007.52,6,10.0,2.0000002,0,59091,True,1
ur.01002036071.40,91,116.0,2.9999998,0,59091,True,41
ur.010020362052.45,3,3.0,0.99999994,53,4,False,1133
ur.010020371561.47,4,4.0,1.0,0,59091,True,72
ur.010020427641.00,10,10.0,1.0,0,59091,True,19
ur.010020447761.79,3,3.0,0.99999994,0,59091,True,4
ur.01002046063.46,36,72.0,4.999999,0,59091,True,12
ur.01002062711.35,5,10.0,1.9999999,0,59091,True,15
ur.01002063145.49,13,13.0,1.0,0,59091,True,11
ur.010020641503.10,4,4.0,1.0,54,5,False,999
ur.010020652125.53,4,8.0,2.0,0,59091,True,10
ur.01002072145.05,9,16.0,2.9999998,0,59091,True,12
ur.010020760300.94,208,328.0,22.999996,0,59091,True,3
ur.010020762405.43,10,10.0,1.0,0,59091,True,43
ur.010021041006.23,3,3.0,0.99999994,0,59091,True,50
ur.01002104763.72,520,520.0,1.0,0,59091,True,1
ur.01002106575.49,1160,2642.0,12.0,0,59091,True,1
ur.010021073136.12,7,7.0,0.99999994,0,59091,True,33
ur.010021146557.69,5,10.0,1.9999999,0,59091,True,15
ur.010021202714.25,30,92.0,6.0,0,59091,True,14
ur.01002122042.94,27,74.0,6.9999995,0,59091,True,4
ur.01002130575.63,6,6.0,1.0,55,7,False,578
ur.01002132743.18,66,144.0,6.0,0,59091,True,7
ur.010021355507.45,59,59.0,1.0000001,0,59091,True,4
ur.01002137176.40,11,18.0,1.9999999,0,59091,True,16
ur.010021537500.07,5,5.0,0.99999994,0,59091,True,30
ur.01002161537.25,12,24.0,1.9999998,0,59091,True,20
ur.010021617777.12,8,8.0,0.99999994,56,33,False,101
ur.01002162050.45,27,27.0,0.99999994,0,59091,True,11
ur.01002162132.49,1744,4821.0,28.999998,0,59091,True,1
ur.010021622724.27,8,8.0,0.99999994,57,20,False,140
ur.01002163765.23,16,34.0,6.0,0,59091,True,41
ur.01002164641.77,213,213.0,0.99999976,0,59091,True,1
ur.01002167221.52,115,224.0,1.9999995,0,59091,True,51
ur.010021702227.01,199,389.0,4.0000005,0,59091,True,4
ur.01002173002.26,12,12.0,0.9999999,0,59091,True,1
ur.01002177015.29,17,17.0,0.99999994,0,59091,True,1
ur.010021773521.19,18,18.0,1.0,0,59091,True,8
ur.01002207750.14,6,9.0,2.0,58,7,False,546
