coauthor_count,n_authors,author_share_percent,survival_percent
254,29,0.04188511922815835,9.180062683247396
255,16,0.023109031298294263,9.138177564019239
256,25,0.03610786140358479,9.115068532720944
257,6,0.00866588673686035,9.07896067131736
258,38,0.05488394933344888,9.070294784580499
259,17,0.024553345754437655,9.01541083524705
260,14,0.02022040238600748,8.990857489492612
261,9,0.012998830105290524,8.970637087106605
262,112,0.16176321908805985,8.957638257001314
263,23,0.033219232491298004,8.795875037913255
264,15,0.021664716842150874,8.762655805421957
265,9,0.012998830105290524,8.740991088579806
266,9,0.012998830105290524,8.727992258474515
267,15,0.021664716842150874,8.714993428369224
268,21,0.030330603579011222,8.693328711527073
269,17,0.024553345754437655,8.662998107948063
270,21,0.030330603579011222,8.638444762193625
271,10,0.014443144561433915,8.608114158614613
272,25,0.03610786140358479,8.59367101405318
273,11,0.015887459017577307,8.557563152649594
274,8,0.011554515649147131,8.541675693632017
275,12,0.0173317734737207,8.53012117798287
276,11,0.015887459017577307,8.51278940450915
277,37,0.053439634877305485,8.496901945491572
278,17,0.024553345754437655,8.443462310614267
279,15,0.021664716842150874,8.41890896485983
280,27,0.038996490315871574,8.397244248017678
281,11,0.015887459017577307,8.358247757701808
282,8,0.011554515649147131,8.342360298684229
283,7,0.01011020119300374,8.330805783035082
284,7,0.01011020119300374,8.32069558184208
285,10,0.014443144561433915,8.310585380649075
286,10,0.014443144561433915,8.296142236087642
287,12,0.0173317734737207,8.281699091526207
288,8,0.011554515649147131,8.264367318052486
289,58,0.0837702384563167,8.252812802403339
290,11,0.015887459017577307,8.169042563947022
291,10,0.014443144561433915,8.153155104929445
292,100,0.14443144561433915,8.138711960368012
293,17,0.024553345754437655,7.994280514753672
294,11,0.015887459017577307,7.969727168999235
295,8,0.011554515649147131,7.953839709981657
296,20,0.02888628912286783,7.94228519433251
297,16,0.023109031298294263,7.913398905209642
298,8,0.011554515649147131,7.890289873911348
299,14,0.02022040238600748,7.878735358262201
300,11,0.015887459017577307,7.858514955876194
301,11,0.015887459017577307,7.842627496858616
302,14,0.02022040238600748,7.826740037841039
303,9,0.012998830105290524,7.8065196354550315
304,5,0.007221572280716957,7.793520805349741
305,12,0.0173317734737207,7.786299233069024
306,18,0.025997660210581048,7.768967459595303
307,8,0.011554515649147131,7.742969799384722
308,13,0.01877608792986409,7.731415283735575
309,11,0.015887459017577307,7.712639195805711
310,11,0.015887459017577307,7.6967517367881335
311,9,0.012998830105290524,7.6808642777705565
312,5,0.007221572280716957,7.667865447665266
313,9,0.012998830105290524,7.660643875384549
314,11,0.015887459017577307,7.647645045279258
315,22,0.031774918035154615,7.631757586261681
316,13,0.01877608792986409,7.599982668226526
317,13,0.01877608792986409,7.581206580296662
318,13,0.01877608792986409,7.562430492366798
319,8,0.011554515649147131,7.543654404436934
320,53,0.07654866617559976,7.532099888787787
321,6,0.00866588673686035,7.455551222612187
322,7,0.01011020119300374,7.446885335875327
323,6,0.00866588673686035,7.436775134682323
324,10,0.014443144561433915,7.4281092479454625
325,12,0.0173317734737207,7.4136661033840285
326,12,0.0173317734737207,7.396334329910308
327,9,0.012998830105290524,7.379002556436587
328,12,0.0173317734737207,7.3660037263312965
329,11,0.015887459017577307,7.348671952857576
330,9,0.012998830105290524,7.332784493839998
331,6,0.00866588673686035,7.3197856637347085
332,14,0.02022040238600748,7.311119776997848
333,6,0.00866588673686035,7.290899374611841
