researcher_id,full_name,community,modal_for_l2,modal_for_l4,modal_institution,modal_country,name_gender
ur.01347632235.56,Christopher Grace,7,Biological Sciences,Genetics,University of Oxford,United Kingdom,Male
ur.013476431655.10,Evgeni Levin,28,Biological Sciences,Microbiology,Amsterdam University Medical Centers,Netherlands,Male
ur.013476474216.41,Cheng Qin,1596,Biomedical and Clinical Sciences,Clinical Sciences,Xijing Hospital,China,Male
ur.013476532731.97,Zheng Yin,28,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,"Fuwai Hospital, CAMS&PUMC",China,Male
ur.013476540252.86,Zoeb Jamal,21,Biological Sciences,Biochemistry and Cell Biology,"University of California, Los Angeles",United States,Male
ur.01347655521.48,Hongmei Wo,24,Biomedical and Clinical Sciences,Biological Psychology,Nanjing Medical University,China,Female
ur.013476614644.19,Sakae Tanaka,7,Biomedical and Clinical Sciences,Clinical Sciences,The University of Tokyo,Japan,Female
ur.01347663505.15,Olivera Spasic-Boskovic,5,Biological Sciences,Genetics,Cambridge University Hospitals NHS Foundation Trust,United Kingdom,Female
ur.01347664403.23,Peter Kraft,2,Biological Sciences,Genetics,Harvard University,United States,Male
ur.01347665222.78,Bruno Cassinat,28,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,Hôpital Saint-Louis,France,Male
ur.013476670672.74,Mengyao Yu,6,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,Stanford University,United States,Female
ur.013476673043.33,Fernando M. Aguate,52,Biological Sciences,Genetics,Michigan State University,United States,Male
ur.01347671306.88,James H. F. Rudd,5,Biomedical and Clinical Sciences,Clinical Sciences,Cambridge University Hospitals NHS Foundation Trust,United Kingdom,Male
ur.01347674425.11,Sam Oh,9,Biological Sciences,Genetics,"University of California, San Francisco",United States,Male
ur.013476750060.28,John Dominy,26,Biological Sciences,Biochemistry and Cell Biology,"Biomedical Research at Novartis, Boston, MA, USA",United States,Male
ur.013476777254.99,Caibo Ning,24,Biological Sciences,Genetics,Wuhan University,China,Unknown
ur.013477002341.72,Jeremy A. Guggenheim,8,Biomedical and Clinical Sciences,Ophthalmology and Optometry,Cardiff University,United Kingdom,Male
ur.013477044761.25,Yafeng Ren,46,Biomedical and Clinical Sciences,Epidemiology,Henan Provincial People's Hospital,China,Unknown
ur.013477104625.52,Lingyun Sun,38,Biomedical and Clinical Sciences,Biological Psychology,Zhejiang University,China,Unknown
ur.01347713232.06,Ai Koyanagi,27,Biomedical and Clinical Sciences,Epidemiology,Parc Sanitari Sant Joan de Déu,Spain,Female
ur.01347713234.19,Gil Blander,37,Biological Sciences,Biochemistry and Cell Biology,"InsideTracker, One Broadway, 14 th 10 Fl, 02142, Cambridge, MA, USA",United States,Male
ur.01347715035.06,Eric Turkheimer,15,Biological Sciences,Biological Psychology,University of Virginia,United States,Male
ur.013477304411.69,Apostolos Pyrgelis,17,Biological Sciences,Genetics,École Polytechnique Fédérale de Lausanne,Switzerland,Male
ur.013477411346.63,Lingyan Dai,16,Biomedical and Clinical Sciences,Epidemiology,Southern Medical University,China,Female
ur.01347741206.43,Lise Hobeika,55,Biomedical and Clinical Sciences,Clinical Sciences,McGill University,Canada,Female
ur.013477514554.09,H. Meghari,4,Biological Sciences,Genetics,National Institute for Health and Care Research,United Kingdom,Male
ur.013477667502.85,Kangkana Mitra,54,Health Sciences,Health Services and Systems,August Pi i Sunyer Biomedical Research Institute,Spain,Female
ur.013477775470.00,Bin Gao,49,Biomedical and Clinical Sciences,Clinical Sciences,Air Force Medical University,China,Male
ur.013500023454.42,Dapeng Mo,96,Biomedical and Clinical Sciences,Clinical Sciences,Beijing Tian Tan Hospital,China,Male
ur.013500105125.23,Matt Duan,47,Biomedical and Clinical Sciences,Biological Psychology,Duke University,United States,Male
ur.01350021441.12,Xiaoni Liu,41,Biomedical and Clinical Sciences,Clinical Sciences,Fudan University,China,Female
ur.01350023156.31,Sandra Abramowicz,11,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,"Molecular Medicine, Columbia University Medical Center, New York (H.D., W.L., T.F., K.E.-U., T.X., S.A., M.Y., B.H., N.W., A.R.T.).",Brazil,Female
ur.01350023404.46,Jubao Duan,1,Biological Sciences,Biological Psychology,University of Chicago,United States,Unknown
ur.01350030135.93,Kimmo Palin,25,Biological Sciences,Genetics,University of Helsinki,Finland,Male
ur.013500316744.37,Paul Kittner,5,Biomedical and Clinical Sciences,Medical Biochemistry and Metabolomics,Berlin Institute of Health at Charité - Universitätsmedizin Berlin,Germany,Male
ur.013500330300.74,Chang-Hua Tang,66,Biomedical and Clinical Sciences,Clinical Sciences,"Department of Orthopedics, Sihong Hospital, 223900, Sihong, Jiangsu, People’s Republic of China",China,Unknown
ur.01350036025.95,Goar Frishman,35,Biological Sciences,Cardiovascular Medicine and Haematology,Helmholtz Zentrum München,Germany,Male
ur.01350041732.31,Paolo Prontera,26,Biological Sciences,Genetics,Azienda Ospedaliera di Perugia,Italy,Male
ur.013500431457.88,Srikant Sarangi,419,Biological Sciences,Bioinformatics and Computational Biology,"Paradigm4, Inc., Suite 360, 281 Winter Street, Waltham, MA, 02451, USA",United States,Male
ur.01350043723.13,Allison Vitonis,1,Biological Sciences,Genetics,Boston Children's Hospital,United States,Female
ur.01350045111.64,Lisa Horvath,2,Biological Sciences,Genetics,Garvan Institute of Medical Research,Australia,Female
ur.013500463765.77,S. Sathe,4,Biological Sciences,Genetics,Princess of Wales Hospital,United Kingdom,Female
ur.013500466767.14,Valerie Lohner,1,Biomedical and Clinical Sciences,Epidemiology,German Center for Neurodegenerative Diseases,Germany,Female
ur.013500504141.40,Weijiao Zhou,32,Biomedical and Clinical Sciences,Clinical Sciences,Peking University,China,Unknown
ur.013500512354.36,Guo-Bing Yang,227,Biological Sciences,Genetics,Gansu Provincial Center for Disease Control and Prevention,China,Unknown
ur.013500513005.47,Minghui Zhao,1257,Biomedical and Clinical Sciences,Clinical Sciences,Jiangsu Province Hospital,China,Unknown
ur.013500516163.80,Joanne C. Wen,8,Biomedical and Clinical Sciences,Ophthalmology and Optometry,"Department of Ophthalmology, Seattle, Washington, USA (CAP, JCW, MRB, PPC, KDB, AYL)",United States,Female
ur.013500532673.56,Haoyu Lu,30,Biological Sciences,Genetics,Harbin Institute of Technology,China,Male
ur.01350056676.75,Frederico Simões do Couto,10,Biomedical and Clinical Sciences,Biological Psychology,,,Male
ur.013500702337.22,Wei Liu,39,Biomedical and Clinical Sciences,Immunology,"JFIntelligent Healthcare Technology Co., Ltd Building No.5-7, No.699 Tianxiang Avenue, Hi-Tech Zone, Nanchang, Jiangxi Province, People’s Republic of China",China,Male
ur.01350072607.44,Naomi P. Friedman,15,Biological Sciences,Genetics,University of Colorado Boulder,United States,Female
ur.013500730312.45,Jieming Zuo,388,Biomedical and Clinical Sciences,Oncology and Carcinogenesis,Second Affiliated Hospital of Kunming Medical College,China,Unknown
ur.01350076077.38,A R Pinto,5,Biomedical and Clinical Sciences,Biochemistry and Cell Biology,Baker IDI Heart and Diabetes Institute,Australia,Male
ur.013501020001.55,Shuzo Kobayashi,1,Biological Sciences,Anthropology,Shonan Kamakura General Hospital,Japan,Male
ur.01350104651.15,Paul Sherliker,23,Health Sciences,Epidemiology,University of Oxford,United Kingdom,Male
ur.013501057637.09,Benjamin A.T. Rodriguez,1,Biological Sciences,Genetics,Framingham Heart Study,United States,Male
ur.013501102360.23,Yue Yuan,11,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,Baylor College of Medicine,United States,Female
ur.013501170145.43,Franklin I Aigbirho,3,Biomedical and Clinical Sciences,Clinical Sciences,University of Cambridge,United Kingdom,Male
ur.013501173767.29,Benjamin F.J. Verhaaren,1,Biomedical and Clinical Sciences,Clinical Sciences,Stanford University,United States,Male
ur.01350120356.42,Thobias Romu,3,Biomedical and Clinical Sciences,Clinical Sciences,AMRA Medical AB,Sweden,Male
ur.013501247010.60,Shuang He,33,Biomedical and Clinical Sciences,Ophthalmology and Optometry,Sun Yat-sen University,China,Unknown
ur.013501274005.51,Joshua M. Popp,2,Biological Sciences,Bioinformatics and Computational Biology,Johns Hopkins University,United States,Male
ur.01350131206.50,Deborah Caswell,70,Biomedical and Clinical Sciences,Oncology and Carcinogenesis,The Francis Crick Institute Ltd,United Kingdom,Female
ur.01350133566.08,Joan Martí-Fàbregas,31,Biological Sciences,Epidemiology,Hospital de Sant Pau,Spain,Female
ur.013501365705.48,Rami Traurig,10,Biomedical and Clinical Sciences,,National Institutes of Health,United States,Male
ur.01350142563.77,C Kabudula,9,Biological Sciences,Genetics,University of the Witwatersrand,South Africa,Unknown
ur.01350144656.38,David M Baguley,35,Biomedical and Clinical Sciences,Allied Health and Rehabilitation Science,Nottingham University Hospitals NHS Trust,United Kingdom,Male
ur.013501454673.19,Yuan Xu,126,Biomedical and Clinical Sciences,Immunology,Harbin Medical University,China,Unknown
ur.013501510474.67,Kunlin Pu,1249,Biomedical and Clinical Sciences,Clinical Sciences,"Department of Otorhinolaryngology, Pengzhou Hospital of Traditional Chinese Medicine, Chengdu, Sichuan, China.",China,Unknown
ur.01350152463.47,Elaine M. Urbina,6,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,University of Cincinnati,United States,Female
ur.01350160731.85,Lois Balmer,40,Health Sciences,Epidemiology,Edith Cowan University,Australia,Female
ur.013501626036.12,Sukamal Das,4,Biological Sciences,Epidemiology,Hammersmith Hospital,United Kingdom,Male
