community,group_authors,leading_value,leading_value_authors,leading_value_share,top_three
233,13,Male,10,0.7692307692307693,"Male (10, 76.9%); Female (3, 23.1%)"
234,13,Unknown,7,0.5384615384615384,"Unknown (7, 53.8%); Male (4, 30.8%); Female (2, 15.4%)"
235,13,Unknown,8,0.6153846153846154,"Unknown (8, 61.5%); Male (3, 23.1%); Female (2, 15.4%)"
236,12,Female,7,0.5833333333333334,"Female (7, 58.3%); Unknown (3, 25.0%); Male (2, 16.7%)"
237,12,Unknown,6,0.5,"Unknown (6, 50.0%); Female (5, 41.7%); Male (1, 8.3%)"
238,12,Male,5,0.4166666666666667,"Male (5, 41.7%); Unknown (5, 41.7%); Female (2, 16.7%)"
239,12,Unknown,7,0.5833333333333334,"Unknown (7, 58.3%); Female (5, 41.7%)"
240,12,Male,5,0.4166666666666667,"Male (5, 41.7%); Unknown (4, 33.3%); Female (3, 25.0%)"
241,12,Unknown,7,0.5833333333333334,"Unknown (7, 58.3%); Male (3, 25.0%); Female (2, 16.7%)"
242,12,Unknown,7,0.5833333333333334,"Unknown (7, 58.3%); Female (3, 25.0%); Male (2, 16.7%)"
243,12,Female,6,0.5,"Female (6, 50.0%); Male (3, 25.0%); Unknown (3, 25.0%)"
244,12,Male,6,0.5,"Male (6, 50.0%); Female (3, 25.0%); Unknown (3, 25.0%)"
245,12,Male,5,0.4166666666666667,"Male (5, 41.7%); Unknown (5, 41.7%); Female (2, 16.7%)"
246,12,Female,6,0.5,"Female (6, 50.0%); Male (3, 25.0%); Unknown (3, 25.0%)"
247,12,Male,10,0.8333333333333334,"Male (10, 83.3%); Female (1, 8.3%); Unknown (1, 8.3%)"
248,12,Unknown,6,0.5,"Unknown (6, 50.0%); Female (3, 25.0%); Male (3, 25.0%)"
249,12,Female,6,0.5,"Female (6, 50.0%); Male (5, 41.7%); Unknown (1, 8.3%)"
250,12,Unknown,6,0.5,"Unknown (6, 50.0%); Female (3, 25.0%); Male (3, 25.0%)"
